professor,course,term,avg_quality,count
Martin Reichert,ACA101,Spring 2021,5.0,1
Martin Reichert,ACA101,Fall 2021,5.0,1
Martin Reichert,ACA101,Fall 2022,5.0,2
Martin Reichert,ACA101,Spring 2023,5.0,3
Martin Reichert,ACA101,Fall 2023,5.0,3
Martin Reichert,ACA101,Fall 2024,5.0,1
Martin Reichert,ACA101,Spring 2025,5.0,2
Martin Reichert,ACA101005,Fall 2020,5.0,1
Martin Reichert,ACAUF101,Spring 2022,5.0,1
Martin Reichert,ACAUF101,Spring 2023,5.0,1
Martin Reichert,ACAUF101,Fall 2023,5.0,3
Martin Reichert,ACAUF101,Fall 2024,5.0,2
Martin Reichert,ACAUF101,Spring 2025,5.0,1
Martin Reichert,ACAUF101,Fall 2025,5.0,2
Martin Reichert,ACC,Spring 2023,5.0,2
Martin Reichert,ACC,Summer 2023,5.0,1
Martin Reichert,ACC,Fall 2023,5.0,1
Martin Reichert,ACC,Spring 2024,5.0,4
Martin Reichert,ACC,Summer 2024,4.0,1
Martin Reichert,ACC,Fall 2024,5.0,1
Martin Reichert,ACC,Spring 2025,5.0,2
Martin Reichert,ACC,Fall 2025,5.0,1
Martin Reichert,CF,Fall 2004,5.0,1
Martin Reichert,CF,Spring 2005,5.0,1
Martin Reichert,CF1,Fall 2006,4.0,1
Martin Reichert,CF1,Spring 2014,5.0,1
Martin Reichert,CF1,Fall 2015,4.33,3
Martin Reichert,CF1,Fall 2016,5.0,2
Martin Reichert,CF1,Spring 2017,5.0,1
Martin Reichert,CF1,Fall 2017,4.75,4
Martin Reichert,CF1,Fall 2018,5.0,1
Martin Reichert,CF1,Fall 2019,5.0,2
Martin Reichert,CF1,Spring 2020,5.0,2
Martin Reichert,CF1,Fall 2020,5.0,2
Martin Reichert,CF102,Spring 2019,4.0,1
Martin Reichert,CF2,Fall 2006,5.0,1
Martin Reichert,CF2,Spring 2017,5.0,1
Martin Reichert,CF2,Spring 2020,5.0,1
Martin Reichert,CF2,Spring 2021,5.0,1
Martin Reichert,CF208,Fall 2012,5.0,1
Martin Reichert,CFI,Spring 2006,5.0,1
Martin Reichert,CFI,Fall 2006,4.0,1
